2022-05-16 18:05:74 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 18:05:408 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 17:05:953 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 17:05:628 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 17:05:823 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 17:05:703 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 21:05:791 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 21:05:863 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (7eb05671f474079df4738b8aa26db829)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-17 21:05:453 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 21:05:348 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 21:05:770 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (fff96c9e934a17d3edadc80f3ce5c826)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-17 21:05:219 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 21:05:510 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (311688c5505398ef999bb152e9d2e7eb)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-17 21:05:207 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 21:05:264 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (2030f4ef175fc5e31df76a1ad0309457)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-17 21:05:381 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 21:05:133 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (b7069b442d3e177a4b80a7368b80a2aa)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-17 21:05:839 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 21:05:01 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (9316347df37e0692b11bbe19aa06c4b8)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-17 22:05:787 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 22:05:102 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (1c6cf16300d1d5074b376164a58703fa)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-17 22:05:187 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 22:05:110 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (e5e934b09ca383b279e1bd7c492172da)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-17 22:05:759 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 22:05:406 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (9971b87c91ce473a86e110b3e0a3ff81)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-17 22:05:269 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 22:05:546 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (e815630c2028d29e47816a9025ce376f)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-17 22:05:90 INFO  ManageDriver :32 - Launching Chrome Browser
